PLATFORM_CODE,PARAMETER_NAME,START_DATE,END_DATE,QUALITY_CODE,COMMENT,DAC
1901060,PSAL,20130913,,3,Suspected biofouling drift,BO
6900647,PSAL,20080312,20081218,3,sensor problem,BO
1901243,PSAL,20090606,,3,Severe PSAL drift to be revisited in DMQC,BO
1901223,PSAL,20110809,,4,pressure sensor failure,BO
1901223,TEMP,20110809,,4,pressure sensor failure,BO
1901223,PRES,20110809,,4,pressure sensor failure,BO
1901243,TEMP,20110926,,3,Temp drift to be revisited in DMQC,BO
6900647,PRES,20120620,,4,Mechanical (piston) failure,BO
6900647,TEMP,20120620,,4,Mechanical (piston) failure,BO
1901235,PRES,20110926,,4,sensor problem-druck microleak,BO
1901235,PSAL,20110926,,4,sensor problem-druck microleak,BO
1901235,TEMP,20110926,,4,sensor problem-druck microleak,BO
6900622,PSAL,20120620,,4,Druck microleak,BO
6900622,PRES,20120620,,4,Druck microleak,BO
6900622,TEMP,20120620,,4,Druck microleak,BO
1901071,PSAL,20120826,,3,sensor problem - Druck microleak,BO
1901071,PRES,20120826,,3,sensor problem - Druck microleak,BO
1901071,TEMP,20120826,,3,sensor problem - Druck microleak,BO
6900617,PSAL,20121114,,4,Mechanical (piston) failure,BO
6900617,PRES,20121114,,4,Mechanical (piston) failure,BO
6900617,TEMP,20121114,,4,Mechanical (piston) failure,BO
1901241,PSAL,20110224,,4,sensor problem - druck microleak,BO
1901241,TEMP,20110224,,4,sensor problem - druck microleak,BO
1901241,PRES,20110224,,4,sensor problem - druck microleak,BO
6900654,PSAL,20100628,,4,sensor problem,BO
6900654,TEMP,20100628,,4,sensor problem,BO
6900654,PRES,20100628,,4,sensor problem,BO
6900651,PSAL,20090201,,3,flushing or pump problem,BO
6900614,PSAL,20100805,,4,flushing or pump problem,BO
1901236,PSAL,20100725,,4,sensor problem - druck microleak,BO
1901236,PRES,20100725,,4,sensor problem - druck microleak,BO
1901236,TEMP,20100725,,4,sensor problem - druck microleak,BO
2901097,PRES,20101224,,4,Fished up then beached,BO
2901097,PSAL,20101224,,4,Fished up then beached,BO
2901097,TEMP,20101224,,4,Fished up then beached,BO
6900615,PSAL,20120125,,4,pressure sensor fail,BO
6900615,TEMP,20120125,,4,pressure sensor fail,BO
6900615,PRES,20120125,,4,pressure sensor fail,BO
1901860,PSAL,20180504,,3,salty drift suspected,BO
1901912,PSAL,20190513,,4,Likely drift in salinity sensor,BO
1901894,PSAL,20190502,,3,salty drift detected,BO
3901970,PSAL,20180722,,3,Sensor drift,BO
6901930,PSAL,20220225,,4,salty drift detected,BO
6904179,PSAL,20220304,,3,RBR correction not yet applied,BO
6904180,PSAL,20220303,,3,RBR correction not yet applied,BO
6901195,PSAL,20190721,,3,salty drift detected,BO
6901926,PSAL,20220819,,3,Suspected drift in PSAL,BO
3902398,PSAL,20220819,,3,Suspected drift in PSAL,BO
3901938,PSAL,20221005,,3,salty drift detected,BO
3901945,PSAL,20221024,,4,Suspected abrupt salty drift in PSAL,BO
3901951,PSAL,20220427,,4,Suspected abrupt salty drift in PSAL,BO
3901964,PSAL,20221102,,3,Suspected moderate salty drift in PSAL,BO
6901939,DOXY,20221121,,3,No RTQC applied to DOXY yet,BO
6901924,PSAL,20230103,,3,salty drift detected,BO
1901925,PSAL,20220820,,4,salty drift detected,BO
1901277,PSAL,20130306,,3,Salinity sensor drift to be revisited during DMQC,BO
3901548,TEMP,20200212,,4,Temperature sensor failure,BO
6901929,PSAL,20220223,,3,salty drift detected,BO
1902098,PSAL,20230305,,3,Uncorrected RBR CTD,BO
6901921,PSAL,20230608,,3,salty drift detected,BO
1901873,PSAL,20220722,,3,salty drift detected,BO
6903753,PSAL,20211023,,3,salty drift detected,BO
3901556,PSAL,20231105,,3,salty drift detected,BO
1901873,PSAL,20240101,,4,ASD salty drift detected,BO
5906966,PSAL,20230225,,3,Uncorrected RBR sensor,BO
7901093,PSAL,20230518,,3,Uncorrected RBR sensor,BO
1902093,PSAL,20230209,,3,Uncorrected RBR sensor,BO
