CONF_PARAM_DEC_ID;CONF_PARAM_LABEL;CONF_PARAM_DEFINITION;CONF_PARAM_NAME;CONF_PARAM_DESCRIPTION
MISSION.P0;Reference day of the 1st cycle (days);Reference day of the 1st cycle (days);CONFIG_FloatReferenceDay_FloatDay;Profiler configuration - Reference day, for PROVOR and ARVOR floats this is: The day number on which the first profile is to be made. The day when the mission starts is zero.
MISSION-PRESSURE_DETECTION.P0;Period of pressure monitoring (s);Period of pressure monitoring (s);CONFIG_AUX_PressureActivationPressureCheckTime_seconds;Pressure scrutation period during the pressure activation phase.
MISSION-PRESSURE_DETECTION.P1;Threshold of pressure to start mission (dbar);Threshold of pressure to start mission (dbar);CONFIG_PressureActivation_dbar;depth at which float is set to pressure activate
MISSION-PRESSURE_DETECTION.P2;Maximum number of days before starting mission (days);Maximum number of days before starting mission (days);CONFIG_AUX_PressureActivationTimeout_days;The pressure activation phase starts after the first successfull auto-test and ends (with the start of the float mission) at the end of the CONFIG_AUX_PressureActivationTimeout_days period. During this phase the float checks the external pressure and can start its mission as soon as a CONFIG_PressureActivation_dbar pressure is measured. At the end of this phase the mission will automatically start.
MISSION-INITIALIZATION.P0;Waiting at surface before starting mission (s);Waiting at surface before starting mission (s);CONFIG_DelayBeforeMissionStart_seconds;Float waiting period before the first cycle of its mission (in minutes).
MISSION-LOOPXX-CYCLEXX.P1;Period of cycle (s);Period of cycle (s);CONFIG_CycleTime_seconds;For APEX and ARVOR floats this is the total duration of one cycle, usually 240 hours (10 days). For SOLO floats this is the total duration of one cycle, assuming that all float operations reach their full time-out intervals before moving to the next float stage. Typically the actual cycle time will be shorter than this value.
MISSION-LOOPXX-CYCLEXX.P2;Expected hour at surface;Expected hour at surface;CONFIG_SurfaceTime_HHMMSS;Hour of the float surfacing
MISSION-LOOPXX-CYCLEXX-TRANSMISSION01.P0;Enable/disable transmission session;Enable/disable transmission session;CONFIG_TransmissionEndCycle_LOGICAL;The float performs a telemetry transmission at the end of the cycle (Yes=1/No=0).
MISSION-LOOPXX-CYCLEXX-BUOYANCY_RED.P0;Mode of buoyancy reduction (0: secure, 1: fast);Mode of buoyancy reduction (0: secure, 1: fast);CONFIG_AUX_BuoyancyReductionMode_NUMBER;Mode of the buoyancy reduction (0: secure, 1: fast).
MISSION-LOOPXX-CYCLEXX-DESC_PARK.P0;Expected depth (dbar);Expected depth (dbar);CONFIG_ParkPressure_dbar;park pressure - this may change if the float is reprogrammed and must be reported in the mission configuration settings
MISSION-LOOPXX-CYCLEXX-DESC_PARK.P1;Mean speed on descent (cm/s);Mean speed on descent (cm/s);CONFIG_AUX_DescentToParkSpeed_cm/s;Mean descent speed during descent to parking depth.
MISSION-LOOPXX-CYCLEXX-PARK_DRIFT.P0;Minimum duration in drift (s);Minimum duration in drift (s);CONFIG_AUX_ParkDriftDuration_seconds;Minimum duration of the parking drift phase.
MISSION-LOOPXX-CYCLEXX-PARK_DRIFT.P1;Tolerance of positioning (dbar);Tolerance of positioning (dbar);CONFIG_AUX_PressureTargetToleranceBeforeParkDriftReposition_dbar;Defines the target pressure interval before performing a buoyancy readjustment to reposition during the drift at parking depth. When a PRES measurement (sampled to monitor the float drift at parking depth) is outside the [parking_pressure +- CONFIG_AUX_PressureTargetToleranceBeforeParkDriftReposition_dbar] interval, the float adjusts its buoyancy.
MISSION-LOOPXX-CYCLEXX-PARK_DRIFT.P2;Tolerance of repositioning (dbar);Tolerance of repositioning (dbar);CONFIG_AUX_PressureTargetToleranceAfterParkDriftReposition_dbar;Defines the target pressure interval after a reposition to enter anew in the drift phase at parking depth (in dbars).
MISSION-LOOPXX-CYCLEXX-DESC_PROF.P0;Expected depth (dbar);Expected depth (dbar);CONFIG_ProfilePressure_dbar;profile pressure - this may change if the float is reprogrammed and must be reported in the mission configuration settings
MISSION-LOOPXX-CYCLEXX-DESC_PROF.P1;Mean speed on descent (cm/s);Mean speed on descent (cm/s);CONFIG_AUX_DescentToProfSpeed_cm/s;Mean descent speed during descent to profile depth.
MISSION-LOOPXX-CYCLEXX-PROF_DRIFT.P0;Minimum duration in drift (s);Minimum duration in drift (s);CONFIG_AUX_ProfDriftDuration_seconds;Minimum duration of the profile drift phase.
MISSION-LOOPXX-CYCLEXX-PROF_DRIFT.P1;Tolerance of positioning (dbar);Tolerance of positioning (dbar);CONFIG_AUX_PressureTargetToleranceBeforeProfDriftReposition_dbar;Defines the target pressure interval before performing a buoyancy readjustment to reposition during the drift at profile depth. When a PRES measurement (sampled to monitor the float drift at parking depth) is outside the [parking_pressure +- CONFIG_AUX_PressureTargetToleranceBeforeProfDriftReposition_dbar] interval, the float adjust its buoyancy.
MISSION-LOOPXX-CYCLEXX-PROF_DRIFT.P2;Tolerance of repositioning (dbar);Tolerance of repositioning (dbar);CONFIG_AUX_PressureTargetToleranceAfterProfDriftReposition_dbar;Defines the target pressure interval for float drift at profile depth (in dbars).
MISSION-LOOPXX-CYCLEXX-ASCENT.P0;Expected depth (Optional – set to 0 if only one ascent phase);Expected depth (Optional – set to 0 if only one ascent phase);CONFIG_AUX_AscentEndPressure_dbar;Expected depth at end of ascent (0 if only one ascent phase).
MISSION-LOOPXX-CYCLEXX-ASCENT.P1;Mean speed on ascent (cm/s);Mean speed on ascent (cm/s);CONFIG_AscentSpeed_cm/s;ascent speed during upcast in mm/s or cm/s (can be used to estimate the profile duration)
MISSION-LOOPXX-CYCLEXX-IN_AIR.P0;Cycle periodicity (1/x where x=number of the cycle);Cycle periodicity (1/x where x=number of the cycle);CONFIG_InAirMeasurementPeriodicity_NUMBER;"Cycle periodicity of the ""in air measurement"" phase: - 0 means no ""in air acquisition"" - 1 means ""in air acquisition"" every cycle - N means ""in air acquisition"" one cycle every ""N"" cycles"
MISSION-LOOPXX-CYCLEXX-IN_AIR.P1;Duration of waiting at surface (s);Duration of waiting at surface (s);CONFIG_InAirMeasurementTime_seconds;"Duration of the ""in air measurement"" phase."
MISSION-LOOPXX-CYCLEXX-END_OF_CYCLE.P0;Waiting at the end of the cycle (s);Waiting at the end of the cycle (s);CONFIG_AUX_EndOfCycleWaintingPeriod_seconds;Duration of the waiting period at the end of a cycle.
MISSION-END_OF_LIFE.P0;Periodicity of the GPS/transmission session (s);Periodicity of the GPS/transmission session (s);CONFIG_TransmissionPeriodEndOfLife_seconds;Period of the Iridium transmission when in End Of Life mode (in minutes).
TECHNICAL-BUOYANCY_RED.P0;1st threshold of the buoyancy reduction (dbar);1st threshold of the buoyancy reduction (dbar);CONFIG_BuoyancyReductionFirstThreshold_dbar;First threshold of the buoyancy reduction phase (in dbars). From the surface to this first threshold, the float performs one initial valve action (of a computed duration) and N1 additional valve actions (of fixed durations) until the crossing of this first threshold.
TECHNICAL-BUOYANCY_RED.P1;2nd threshold of the buoyancy reduction (dbar);2nd threshold of the buoyancy reduction (dbar);CONFIG_BuoyancyReductionSecondThreshold_dbar;Second threshold of the buoyancy reduction phase (in dbars). From the first threshold to this second threshold, the float performs N2 additional valve actions (of computed durations) until the crossing of this second threshold. The descent to park phase starts at the crossing of this second threshold.
TECHNICAL-BUOYANCY_RED.P2;Period of pressure monitoring (s);Period of pressure monitoring (s);CONFIG_PressureCheckTimeBuoyancyReductionPhase_seconds;Time delay after each valve action before checking the pressure during the buoyancy reduction phase (in seconds).
