TECH_PARAM_DEC_ID;TECH_PARAM_MSG_ID;TECH_PARAM_MSG_LABEL;TECH_PARAM_NAME;TECH_PARAM_DESCRIPTION
1001;-1;Number of samples recorded during the mission;NUMBER_AscentSamples_COUNT;ascent: total number of samples collected during ascent
1002;-1;Number of bins recorded during the mission;NUMBER_BinsWithData_COUNT   ;number of pressure bins with data
1003;-1;Highest pressure in decibars recorded during the mission;TECH_AUX_PRES_DeepestSample_dbar;Deepest pressure sampled by the CTD in continuous profiling mode
1004;-1;Pressure w/out Offset:   -0.03,Pressure w/ Offset:    0.01, Surface Pressure Offset:   -0.04;PRES_SurfaceOffsetNotTruncated_dbar;Surface pressure recorded just before the previous descent - Note: cumulative offset, This IS NOT used to correct pressure on board Not autocorrected
1005;-1;iceDetection.thermalDetect.medianTemp;TEMP_MixedLayerMedian_degC;median of the mixed layer samples taken
1006;-1;iceDetection.thermalDetect.sampleNum;NUMBER_MixedLayerSamples_COUNT;number of CTD samples taken in the mixed layer
1007;-1;iceDetection.thermalDetect.detectPres;PRES_IceAvoidance_dbar;Pressure when float avoids ice
1008;-1;Computed in ICE check;FLAG_IceDetected_bit;aborted profile count - increments by one for each profile interrupted by ice detection. If units are 'bit' then represents the ice evasion record for the last 8 profiles with the latest profile in the least significant bit.
1009;-1;iceDetection.thermalDetect.detectTime;TECH_AUX_FLAG_IceIsaDetectionAlarm_LOGICAL;Alarm raised when Ice has been detected with ISA algorithm.
1010;-1;iceDetection.thermalDetect.detectTime;TECH_AUX_CLOCK_IceIsaDetectionAlarm_YYYYMMDDHHMMSS;Alarm raised when Ice has been detected with ISA algorithm.
1011;-1;iceDetection.thermalDetect.detectPres;TECH_AUX_PRES_IceIsaDetectionAlarm_dbar;Alarm raised when Ice has been detected with ISA algorithm.
1012;-1;iceDetection.breakupDetect.detectFlag;TECH_AUX_FLAG_IceNoSurfacePeriod_LOGICAL;Alarm raised when the float is still not surfacing (even without Ice detection) due to Ice advoidance algorithm.
1013;-1;iceDetection.breakupDetect.detectTime;TECH_AUX_CLOCK_IceNoSurfacePeriod_YYYYMMDDHHMMSS;Alarm raised when the float is still not surfacing (even without Ice detection) due to Ice advoidance algorithm.
1014;-1;iceDetection.capDetect.detectFlag;TECH_AUX_FLAG_IceSatMaskDetectionAlarm_LOGICAL;Alarm raised when Ice has been detected with the satellite mask.
1015;-1;iceDetection.capDetect.detectTime;TECH_AUX_CLOCK_IceSatMaskDetectionAlarm_YYYYMMDDHHMMSS;Alarm raised when Ice has been detected with the satellite mask.
1016;-1;iceDetection.ascentAbort.abortType;TECH_AUX_FLAG_IceProfileAbortAlarm_LOGICAL;Alarm raised when the profile has been aborted by Ice detection.
1017;-1;iceDetection.ascentAbort.abortTypeTime;TECH_AUX_CLOCK_IceProfileAbortAlarm_YYYYMMDDHHMMSS;Alarm raised when the profile has been aborted by Ice detection.
1018;-1;Computed in ICE check;TECH_AUX_FLAG_IceAlgorithmStatus_bit;ICE information digest: 11 bits information with, from LSB to MSB: bit#1: Transmission flag (the float succeeded to reach the GPS or Iridium satellites), #2: ICE algorithm activated flag (the ICE algorithm is enabled and switched on), #3: ICE surface avoidance flag (the ICE algorithm is able to act on float behavior), #4: Aborted profile flag (the ICE algorithm aborted the ascending profile), #5: ISA flag (the result of ISA check), #6: Breakup period flag (the ascending profile occured during the breakup period), #7: Hanging flag (the ICE algorithm detected a float hanging), #8: Satellite mask flag (the ICE algorithm detected that the float tried but failed to reach the GPS or Iridium satellites constellations), #9: Forced ascent flag (the ascending profile was forced to try to reach the surface), #10: AC1 activated flag (the AC1 (PROVOR_IV float) feature is activated), #11: ICE cycle performed flag (the (Apex APF11) float used at least one ICE cycle after the ascending profile).
