TECH_PARAM_DEC_ID;TECH_PARAM_MSG_ID;TECH_PARAM_MSG_LABEL;TECH_PARAM_NAME;TECH_PARAM_DESCRIPTION
200;2;Total profile realized;TECH_AUX_NUMBER_CyclesDone_COUNT;Number of cycles done since float manufacturing.
201;2;Total distance profiled (dbar);TECH_AUX_NUMBER_DepthSampled_dbar;Amount of depth sampled since float manufacturing.
202;2;Total duration at sea (day);TECH_AUX_NUMBER_TimeElapsedt_HHMMSS;Number of days elapsedsince float manufacturing.
100101;1001;EV lump sum volume (1/10 cm3);TECH_AUX_VOLUME_OilVolumeTransferredAtSurfaceDuringFirstValveAction_cm^3;Oil volume transferred from the external bladder during the first valve action of the descent to park.
100102;1001;EV transferred volume (1/10 cm3);VOLUME_OilVolumeTransferredAtSurfaceDuringDescent_cm^3;Oil volume transferred from the external bladder during the descent to park (between the surface and the second threshold of the buoyancy reduction phase). This is the oil volume tranferred  during the NUMBER_ValveActionsAtSurfaceDuringDescent_COUNT valve actions.
100103;1001;EV action number;NUMBER_ValveActionsAtSurfaceDuringDescent_COUNT;number of solenoid valve actions at the surface until the crossing of the GAP threshold
100200;1002;Date/Time (in second since 2000);CLOCK_BuoyancyInversionStart_YYYYMMDDHHMMSS;Time when the float starts the buoyancy inversion phase when ice was detected during ascent.
100300;1003;Date/Time (in second since 2000);TECH_AUX_CLOCK_BuoyancyInversionEnd_YYYYMMDDHHMMSS;Time when the float ends the buoyancy inversion phase when ice was detected during ascent.
100301;1003;External pressure offset (cbar);TECH_AUX_PRES_BuoyancyInversionEnd_dbar;Pressure when the float ends the buoyancy inversion phase when ice was detected during ascent.
100302;1003;External pressure min (cbar);TECH_AUX_PRES_BuoyancyInversionEndMinPres_dbar;Min pressure sampled during buoyancy inversion phase.
100303;1003;EV transferred volume (1/10 cm3);TECH_AUX_VOLUME_OilVolumeTransferredDuringBuoyancyInversion_cm^3;Oil volume transferred from the external bladder during the buoyancy inversion phase when ice was detected during ascent.
